"filename", "language", "C", "C++", "comment", "blank", "total"
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\bottles.c", "C", 14, 0, 0, 0, 14
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\convert.c", "C", 18, 0, 0, 2, 20
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\divide.c", "C", 10, 0, 0, 1, 11
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\golf.c", "C", 9, 0, 0, 2, 11
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\min_sec.c", "C", 19, 0, 0, 3, 22
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\post_pre.c", "C", 11, 0, 0, 3, 14
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\pound.c", "C", 18, 0, 0, 3, 21
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\practice\1.c", "C", 19, 0, 0, 0, 19
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\practice\2.c", "C", 14, 0, 0, 2, 16
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\practice\3.c", "C", 19, 0, 0, 1, 20
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\practice\4.c", "C", 20, 0, 0, 1, 21
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\practice\5.c", "C", 14, 0, 0, 1, 15
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\practice\6.c", "C", 15, 0, 0, 0, 15
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\practice\7.c", "C", 17, 0, 0, 1, 18
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\practice\8.c", "C", 17, 0, 0, 2, 19
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\practice\9.c", "C", 25, 0, 0, 1, 26
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\rules.c", "C", 8, 0, 0, 2, 10
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\running.c", "C", 33, 0, 0, 4, 37
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\shoes1.c", "C", 12, 0, 0, 2, 14
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\shoes2.c", "C", 17, 0, 0, 2, 19
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\sizeof.c", "C", 9, 0, 0, 1, 10
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\squares.c", "C", 11, 0, 0, 1, 12
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter5\wheat.c", "C", 23, 0, 0, 2, 25
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\boolean.c", "C", 18, 0, 0, 3, 21
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\cmpflt.c", "C", 16, 0, 0, 2, 18
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\do_while.c", "C", 14, 0, 0, 2, 16
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\entry.c", "C", 17, 0, 0, 3, 20
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\for_cube.c", "C", 11, 0, 0, 1, 12
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\postage.c", "C", 11, 0, 0, 3, 14
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\power.c", "C", 26, 0, 0, 2, 28
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\1.c", "C", 12, 0, 0, 0, 12
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\10.c", "C", 18, 0, 0, 0, 18
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\11.c", "C", 13, 0, 0, 2, 15
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\12.c", "C", 43, 0, 0, 3, 46
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\13.c", "C", 17, 0, 0, 1, 18
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\14.c", "C", 32, 0, 0, 0, 32
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\15.c", "C", 19, 0, 0, 1, 20
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\16.c", "C", 17, 0, 0, 0, 17
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\17.c", "C", 18, 0, 0, 0, 18
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\18.c", "C", 14, 0, 0, 1, 15
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\2.c", "C", 12, 0, 0, 0, 12
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\3.c", "C", 13, 0, 0, 0, 13
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\4.c", "C", 13, 0, 0, 0, 13
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\5.c", "C", 21, 0, 0, 0, 21
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\6.c", "C", 16, 0, 0, 1, 17
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\7.c", "C", 15, 0, 0, 0, 15
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\8.c", "C", 13, 0, 0, 0, 13
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\practice\9.c", "C", 20, 0, 0, 0, 20
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\rows1.c", "C", 15, 0, 0, 1, 16
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\rows2.c", "C", 15, 0, 0, 1, 16
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\scores_in.c", "C", 22, 0, 0, 1, 23
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\summing.c", "C", 18, 0, 0, 2, 20
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\sweetie1.c", "C", 12, 0, 0, 1, 13
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\sweetie2.c", "C", 11, 0, 0, 2, 13
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\t_and_f.c", "C", 9, 0, 0, 2, 11
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\trouble.c", "C", 18, 0, 0, 1, 19
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\truth.c", "C", 17, 0, 0, 3, 20
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\when.c", "C", 13, 0, 0, 1, 14
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\while1.c", "C", 10, 0, 0, 3, 13
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\while2.c", "C", 11, 0, 0, 1, 12
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter6\zeno.c", "C", 15, 0, 0, 2, 17
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\animals.c", "C", 53, 0, 0, 2, 55
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\break.c", "C", 20, 0, 0, 1, 21
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\chcount.c", "C", 16, 0, 0, 1, 17
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\colddays.c", "C", 28, 0, 0, 1, 29
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\cypher1.c", "C", 21, 0, 0, 1, 22
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\cypher2.c", "C", 19, 0, 0, 1, 20
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\divisors.c", "C", 36, 0, 0, 2, 38
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\electric.c", "C", 36, 0, 0, 3, 39
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\paint.c", "C", 16, 0, 0, 1, 17
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\practice\1.c", "C", 26, 0, 0, 0, 26
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\practice\10.c", "C", 89, 0, 0, 1, 90
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\practice\11.c", "C", 89, 0, 0, 12, 101
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\practice\2.c", "C", 28, 0, 0, 0, 28
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\practice\3.c", "C", 31, 0, 0, 0, 31
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\practice\4.c", "C", 27, 0, 0, 1, 28
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\practice\5.c", "C", 26, 0, 0, 0, 26
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\practice\6.c", "C", 29, 0, 0, 1, 30
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\practice\7.c", "C", 41, 0, 0, 0, 41
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\practice\8.c", "C", 94, 0, 0, 3, 97
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\practice\9.c", "C", 39, 0, 0, 1, 40
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\skippart.c", "C", 36, 0, 0, 2, 38
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\vowel.c", "C", 39, 0, 0, 3, 42
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter7\wordcnt.c", "C", 41, 0, 0, 3, 44
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter8\checking.c", "C", 88, 0, 0, 15, 103
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter8\echo.c", "C", 10, 0, 0, 2, 12
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter8\echo_eof.c", "C", 10, 0, 0, 2, 12
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter8\file_eof.c", "C", 22, 0, 0, 2, 24
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter8\guess.c", "C", 15, 0, 0, 3, 18
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter8\menuette.c", "C", 81, 0, 0, 13, 94
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter8\practice\1.c", "C", 11, 0, 0, 1, 12
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter8\practice\2.c", "C", 32, 0, 0, 1, 33
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter8\practice\3.c", "C", 21, 0, 0, 2, 23
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter8\practice\4.c", "C", 21, 0, 13, 2, 36
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter8\practice\5.c", "C", 42, 0, 0, 4, 46
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter8\practice\6.c", "C", 18, 0, 0, 5, 23
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter8\practice\7.c", "C", 102, 0, 0, 8, 110
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter8\practice\8.c", "C", 81, 0, 0, 5, 86
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter8\showchar1.c", "C", 29, 0, 0, 2, 31
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter8\showchar2.c", "C", 36, 0, 0, 2, 38
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\UseHotel\hotel.c", "C", 44, 0, 9, 9, 62
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\UseHotel\hotel.h", "C++", 0, 10, 0, 3, 13
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\UseHotel\usehotel.c", "C", 33, 0, 0, 3, 36
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\binary.c", "C", 27, 0, 0, 5, 32
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\factor.c", "C", 52, 0, 0, 8, 60
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\lesser.c", "C", 28, 0, 0, 4, 32
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\lethead1.c", "C", 24, 0, 0, 6, 30
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\lethead2.c", "C", 32, 0, 0, 8, 40
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\loccheck.c", "C", 17, 0, 0, 5, 22
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\misuse.c", "C", 13, 0, 0, 3, 16
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\practice\1.c", "C", 21, 0, 0, 4, 25
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\practice\10.c", "C", 37, 0, 0, 2, 39
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\practice\11.c", "C", 30, 0, 0, 2, 32
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\practice\2.c", "C", 25, 0, 0, 4, 29
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\practice\3.c", "C", 25, 0, 0, 4, 29
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\practice\4.c", "C", 14, 0, 0, 6, 20
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\practice\5.c", "C", 24, 0, 0, 4, 28
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\practice\6.c", "C", 34, 0, 0, 4, 38
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\practice\7.c", "C", 39, 0, 0, 4, 43
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\practice\8.c", "C", 52, 0, 0, 4, 56
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\practice\9.c", "C", 44, 0, 0, 4, 48
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\proto.c", "C", 14, 0, 4, 2, 20
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\recur.c", "C", 16, 0, 0, 2, 18
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\swap1.c", "C", 17, 0, 0, 5, 22
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\swap2.c", "C", 18, 0, 0, 5, 23
"c:\Users\JIN01\Desktop\C Primer Plus\Chapter9\swap3.c", "C", 17, 0, 0, 4, 21
"Total", "-", 5865, 10, 56, 720, 6651